"id_song"	"title"	"id_artist"	"artist"
2213	feels good to me	10150	black sabbath
11714	evil woman	10150	black sabbath
2212	valhalla	10150	black sabbath
2209	the sabbath stones	10150	black sabbath
2208	jerusalem	10150	black sabbath
11713	n.i.b.	10150	black sabbath
270445	night wind sent	13839	blondie
288883	hanging on the telephone	13839	blondie
270450	divine	13839	blondie
289288	dreaming	13839	blondie
270441	no exit	13839	blondie
270440	maria	13839	blondie
270443	nothing is real but the girl	13839	blondie
289291	presence dear (i'm always touched by your)	13839	blondie
60053	who do you love	42785	bo diddley
15983	bo diddley	42785	bo diddley
18864	i believe in you	20307	bob dylan
358663	not dark yet	20307	bob dylan
16722	masters of war	20307	bob dylan
16698	it takes a lot to laugh it takes a train to cry	20307	bob dylan
253860	i shall be released	20307	bob dylan
16701	chimes of freedom	20307	bob dylan
18869	man gave names to all the animals	20307	bob dylan
89523	little maggie	20307	bob dylan
30974	misty morning	20639	bob marley
30972	satisfy my soul	20639	bob marley
30898	burnin' and lootin'	20639	bob marley
30956	slave driver	20639	bob marley
30958	stop the train	20639	bob marley
30969	kaya	20639	bob marley
398782	turn your lights down low	20639	bob marley
30903	one foundation	20639	bob marley
1017288	splish splash	21287	bobby darin
1017307	bill bailey won't you please come home?	21287	bobby darin
1017296	queen of the hop	21287	bobby darin
1017298	plain jane	21287	bobby darin
1017303	mack the knife	21287	bobby darin
1017309	artificial flowers	21287	bobby darin
16254	dream lover	21287	bobby darin
1017305	clementine	21287	bobby darin
421725	gnawin' on it	18637	bonnie raitt
248119	lover's will	18637	bonnie raitt
421718	i can't help you now	18637	bonnie raitt
248122	i'm on your side	18637	bonnie raitt
421715	fool's game	18637	bonnie raitt
56251	one part be my lover	18637	bonnie raitt
248115	the fundamental things	18637	bonnie raitt
248124	i need love	18637	bonnie raitt
380632	green onions	21257	booker t.& the mg's
222718	more than a feeling	14951	boston
1071696	more than a feeling (single version)	14951	boston
619872	born to run	20775	bruce springsteen
670472	long time comin'	20775	bruce springsteen
435307	empty sky	20775	bruce springsteen
901586	livin' in the future	20775	bruce springsteen
1014169	surprise surprise	20775	bruce springsteen
901591	magic	20775	bruce springsteen
435304	waitin' on a sunny day	20775	bruce springsteen
386441	secret garden	20775	bruce springsteen
516266	everyday	28238	buddy holly
1065971	real wild child	28238	buddy holly
1065908	ting a ling	28238	buddy holly
1065907	modern don juan	28238	buddy holly
1065951	i'm changing all those changes	28238	buddy holly
1065975	that's what they say	28238	buddy holly
1065904	you are my one desire	28238	buddy holly
1067403	it's too late	28238	buddy holly
155021	for what it's worth	21261	buffalo springfield
358632	a child's claim to fame	21261	buffalo springfield
69290	bluebird	21261	buffalo springfield
457414	feel a whole lot better	31161	byrds
457413	mr tambourine man	31161	byrds
75789	there must be someone	31161	byrds
457417	chimes of freedom	31161	byrds
75784	oil in my lamp	31161	byrds
457416	all i really want to do	31161	byrds
75783	fido	31161	byrds
75787	jesus is just alright	31161	byrds
216810	bird dog	20698	carl perkins
216808	all shook up	20698	carl perkins
216797	matchbox	20698	carl perkins
216805	whole lotta shakin' goin' on	20698	carl perkins
203464	roll over beethoven	20698	carl perkins
216804	hound dog	20698	carl perkins
201260	that's right	20698	carl perkins
216802	be bop a lula	20698	carl perkins
13967	man smart woman smarter	9952	carpenters
12804	you're enough	9952	carpenters
13965	sweet sweet smile	9952	carpenters
13961	all you get from love is a love song	9952	carpenters
12802	now	9952	carpenters
12803	sailing on the tide	9952	carpenters
12810	your baby doesn't love you anymore	9952	carpenters
13962	i just fall in love again	9952	carpenters
133480	you're all i wanna do	12502	cheap trick
13361	heaven's falling	12502	cheap trick
177314	i want you to want me	12502	cheap trick
133484	girlfriends	12502	cheap trick
13359	y.o.y.o.y.	12502	cheap trick
133481	never run out of love	12502	cheap trick
133487	cry baby	12502	cheap trick
71780	i want you	12502	cheap trick
169656	savoir faire	17461	chic
380743	chic mystique (reprise)	17461	chic
75760	something you can feel	17461	chic
75608	chic mystique	17461	chic
75762	doin' that thing to me	17461	chic
75759	jusagroove	17461	chic
16408	chic cheer	17461	chic
75765	my love's for real	17461	chic
64823	let's twist again	21271	chubby checker
216890	twist it up	21271	chubby checker
216889	let's limbo some more	21271	chubby checker
216881	the fly	21271	chubby checker
216891	popeye the hitchiker	21271	chubby checker
216884	let's do the freddie	21271	chubby checker
310975	ann rosie	21271	chubby checker
115630	the hucklebuck	21271	chubby checker
191479	thirty days (to come back home)	20354	chuck berry
1021276	sweet little sixteen	20354	chuck berry
12210	no particular place to go	20354	chuck berry
12215	school day (ring ring goes the bell)	20354	chuck berry
375268	roll over beethoven	20354	chuck berry
645947	back in the usa	20354	chuck berry
191468	memphis tennessee	20354	chuck berry
1034685	route 66	20354	chuck berry
27936	true colors	24078	cindy lauper
5306	time after time	24078	cindy lauper
108902	the crooked beat	10895	clash
13930	london calling	10895	clash
879025	brand new cadillac	10895	clash
876765	safe european home	10895	clash
879065	revolution rock	10895	clash
68318	guns on the roof	10895	clash
879026	hateful	10895	clash
68321	cheapskates	10895	clash
680479	the hardest part	70601	coldplay
680480	swallowed in the sea	70601	coldplay
680474	white shadows	70601	coldplay
982645	violet hill	70601	coldplay
435986	politik	70601	coldplay
993088	lost!	70601	coldplay
993092	yes	70601	coldplay
364282	high speed	70601	coldplay
160561	n.s.u.	21282	cream
160554	swlabr	21282	cream
160553	we're going wrong	21282	cream
381083	white room	21282	cream
160559	wrapping paper	21282	cream
160557	spoonful	21282	cream
160560	i feel free	21282	cream
160558	strange brew	21282	cream
87129	door to door	19090	creedence clearwater revival
87098	cross-tie walker	19090	creedence clearwater revival
87118	born to move	19090	creedence clearwater revival
76250	down on the corner	19090	creedence clearwater revival
87116	it's just a thought	19090	creedence clearwater revival
76260	hey tonight	19090	creedence clearwater revival
76243	suzie q	19090	creedence clearwater revival
87123	need someone to hold	19090	creedence clearwater revival
15867	feel your love	20473	crosby stills nash & young
15861	shadowland	20473	crosby stills nash & young
12816	ohio	20473	crosby stills nash & young
290380	heartland	20473	crosby stills nash & young
15859	this old house	20473	crosby stills nash & young
15868	night song	20473	crosby stills nash & young
12812	deja vu	20473	crosby stills nash & young
290387	queen of them all	20473	crosby stills nash & young
193527	treasure	12484	cure
73376	wendy time	12484	cure
1006046	this here and now with you	12484	cure
