"id"	"tag"
57	psychic
57	rhythmic
57	violence
58	psychedelic
58	rock pop
58	anxiety
58	desolation
58	lazy
58	melancholic
58	psychic
58	repetitive
58	rhythmic
58	weird
59	new wave
59	punk
59	singer-songwriter
59	agitated
59	confused
59	disturbing
59	noise
59	oppressive
59	psychic
59	speed
60	rock pop
60	breezy
60	carefree
60	catchy
60	hippy
60	rhythmic
61	rock pop
61	romantic
61	carefree
61	catchy
61	delicate
61	hopeful
61	love
61	melodic
61	romantic
61	soft
61	tender
62	rock pop
62	carefree
62	catchy
62	holiday
62	hopeful
62	rhythmic
62	travel
62	vintage
63	new wave
63	rock pop
63	boring
63	indifferent
63	repetitive
63	rhythmic
63	vintage
64	punk
64	rock pop
64	energy
64	fast
64	movement
64	rhythmic
64	vintage
65	disco 80
65	boring
65	indifferent
65	light
65	rhythmic
65	vintage
66	punk
66	rock pop
66	aggressive
66	energy
66	fast
66	repetitive
66	rhythmic
67	disco 80
67	rock pop
67	agitated
67	fast
67	frantic
67	repetitive
67	rhythmic
68	disco 80
68	rock pop
68	singer-songwriter
68	fast
68	light
68	rhythmic
68	travel
68	vintage
69	dance pop
69	disco 80
69	singer-songwriter
69	agitated
69	frantic
69	light
69	rhythmic
69	vintage
70	new wave
70	rock pop
70	carefree
70	catchy
70	fast
70	holiday
70	movement
71	electronic
71	rock pop
71	rocksteady
71	catchy
71	repetitive
71	rhythmic
71	vintage
71	weird
72	rock pop
72	energy
72	fast
72	rhythmic
72	space
72	travel
73	new wave
73	rock pop
73	aerial
73	atmosphere
73	floating
73	melancholic
73	space
74	hard rock
74	aggressive
74	chaotic
74	energy
74	repetitive
74	rhythmic
75	punk
75	rock pop
75	agitated
75	chaotic
75	confused
75	dark
75	energy
75	speed
75	tough
76	bluegrass
76	country tradiz
76	singer-songwriter
76	acoustic
76	ballroom
76	breezy
76	carefree
76	catchy
76	cheerful
76	countryside
76	fast
76	graceful
76	playful
76	rhythmic
76	travel
77	country rock
77	folk contemporaneo
77	singer-songwriter
77	catchy
77	energy
77	fast
77	rhythmic
77	travel
78	bluegrass
78	country rock
78	singer-songwriter
78	acoustic
78	countryside
78	gentle
78	hopeful
78	melancholic
78	romantic
79	country rock
79	countryside
79	love
79	melodic
79	rhythmic
79	romantic
79	soft
80	bluegrass
80	country tradiz
80	singer-songwriter
80	acoustic
80	calm
80	countryside
80	delicate
80	evocative
80	gentle
80	melancholic
80	melodic
80	remembrance
80	romantic
80	soft
80	sweet
80	travel
81	bluegrass
81	country rock
81	country tradiz
81	countryside
81	energy
81	fast
81	positive
81	rhythmic
82	bluegrass
82	country rock
82	folk contemporaneo
82	singer-songwriter
82	countryside
82	love
82	melodic
82	passionate
82	travel
83	country rock
83	catchy
83	countryside
83	crystalline
83	delicate
83	mellow
83	travel
84	rock pop
84	bright
84	cheerful
84	delicate
84	gentle
84	hopeful
84	light
84	optimistic
84	playful
85	rock & roll
85	rock '50
85	singer-songwriter
85	ballroom
85	carefree
85	catchy
85	cheerful
85	energy
85	enthusiastic
85	fast
85	graceful
85	holiday
85	movement
85	positive
85	rhythmic
85	summertime
86	rock & roll
86	singer-songwriter
86	slow
86	catchy
86	emotional
86	remembrance
86	rhythmic
86	romantic
86	soft
86	vintage
87	rock & roll
87	singer-songwriter
87	ballroom
87	catchy
87	remembrance
87	rhythmic
87	soft
88	rock & roll
88	singer-songwriter
88	ballroom
88	carefree
88	exciting
88	movement
88	rhythmic
89	classic rock
89	rock '50
89	slow
89	intimate
89	passionate
89	rhythmic
89	romantic
89	soft
90	rock & roll
90	fast
90	holiday
90	movement
90	rhythmic
90	summertime
91	rock & roll
91	rock pop
91	breezy
91	energy
91	fast
91	remembrance
91	rhythmic
91	summertime
92	singer-songwriter
92	traditional blues
92	acoustic
92	exciting
92	groove
92	intense
92	rhythmic
92	sexy
92	soulful
93	rock pop
93	soul
93	breezy
93	bright
93	catchy
93	cheerful
93	groove
93	remembrance
93	rhythmic
93	tender
94	rhythm and blues
94	soul
94	despair
94	mellow
94	passionate
94	rhythmic
94	soft
95	acoustic
95	ambient
95	orchestral pop
95	acoustic
95	aerial
95	atmosphere
95	calm
95	evocative
95	melancholic
95	peaceful
95	serene
